"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"127",19.15,1,0,0,0,0,0,1,0,0
"128",26.89,1,0,1,1,0,1,1,0,0
"129",24.94,1,0,0,0,0,0,1,0,0
"130",34.6,1,0,0,0,0,0,1,0,0
"131",23.67,1,0,0,0,0,1,1,0,0
"132",17.77,0,1,0,0,0,0,1,0,0
"133",45.98,0,1,0,1,0,1,1,1,0
"134",32.36,1,0,1,1,0,1,1,0,0
"135",31.35,1,0,0,0,0,1,1,1,0
"136",26.28,1,0,0,0,0,0,1,0,0
"137",30.9,1,0,0,0,0,1,1,0,0
"138",27.12,1,0,1,1,1,0,1,1,0
"139",22.24,1,0,0,0,0,0,1,1,0
"140",23.88,0,1,1,0,0,1,1,0,0
"141",23,1,0,0,0,0,0,1,0,0
"142",22.78,1,0,0,0,0,0,1,0,0
"143",25.26,1,0,0,0,0,0,1,0,0
"144",20.75,1,0,0,0,0,1,1,1,0
"145",22.56,1,0,0,0,0,0,1,0,0
"146",23.44,0,0,0,1,0,0,1,0,0
"147",25.1,0,1,1,1,0,1,1,0,0
"148",32.15,1,0,0,0,0,0,1,0,0
"149",25.21,1,0,1,0,0,0,1,0,0
"150",21.15,0,0,1,1,0,1,1,0,0
"151",33.72,1,0,1,1,0,1,1,0,0
"152",18.8,0,0,0,0,0,1,1,0,0
"153",28.31,1,0,0,0,0,0,1,0,0
"154",21.14,1,0,0,0,0,0,1,0,0
"155",27.51,1,0,1,0,0,0,1,0,0
"156",31.35,1,0,1,0,0,0,1,0,0
"157",33.02,0,1,0,0,0,0,1,0,0
"158",25.77,1,0,0,0,1,0,1,0,0
"159",17.78,1,0,1,0,0,0,1,0,0
"160",29.61,1,0,0,0,1,0,1,0,0
"161",23.22,0,1,1,0,0,0,1,0,0
"162",23.46,1,0,1,0,0,0,1,0,0
"163",24.88,1,0,0,0,0,0,1,0,0
"164",22.72,0,1,1,0,0,0,1,0,0
"165",34.08,1,0,1,1,0,0,1,0,0
"166",21.35,0,0,1,0,0,0,1,0,0
"167",23.44,1,0,1,1,0,0,1,0,0
"168",20.25,1,0,0,0,0,0,1,0,0
"169",18.93,0,0,0,0,0,0,1,0,0
"170",21.15,1,0,0,0,0,1,1,0,0
"171",25.53,1,0,0,0,0,0,1,0,0
"172",28.25,1,0,1,0,0,0,1,0,0
"173",24.71,1,0,0,0,0,0,1,0,0
"174",23.76,1,0,0,1,0,1,1,0,0
"175",28.37,0,1,1,0,0,0,1,0,0
"176",18.92,0,1,0,0,1,1,1,0,0
"177",22.08,1,0,1,0,0,0,1,0,0
"178",22.94,1,0,1,0,0,0,1,0,0
"179",30.69,1,0,1,0,0,0,1,0,0
"180",22.77,1,0,1,0,0,0,1,0,0
"181",24.46,1,0,1,0,0,0,1,0,0
"182",19.5,1,0,0,0,0,0,1,0,0
"183",19.51,1,0,1,0,0,0,1,0,0
"184",26.72,1,0,0,0,0,0,1,0,0
"185",24.09,1,0,0,0,0,0,1,0,0
"186",18.13,1,0,0,0,0,0,1,0,0
"187",19.13,1,0,0,1,0,0,1,0,0
"188",22.35,1,0,1,0,0,0,1,0,0
"189",17.38,1,0,1,0,0,0,1,0,0
"190",22.62,1,0,0,0,0,0,1,0,0
"191",25.61,1,0,0,0,0,0,1,0,0
"192",19.45,1,0,0,0,0,0,1,0,0
"193",26.24,1,0,0,0,1,0,1,0,0
"194",21.69,1,0,0,0,0,1,1,0,0
"195",28.41,0,1,1,0,0,1,1,0,0
"196",27.69,0,1,1,0,0,0,1,0,0
"197",20.2,1,0,1,0,0,0,1,0,0
"198",19.07,1,0,0,0,0,0,1,0,0
"199",21.79,1,0,1,0,0,1,1,0,0
"200",28.14,1,0,1,0,0,0,1,0,0
"201",23.02,0,1,1,0,0,1,1,0,0
"202",26.69,1,0,1,0,0,1,1,0,0
"203",25.85,1,0,1,0,0,1,1,0,0
"204",24.57,1,0,0,0,0,0,1,0,0
"205",25.69,0,1,0,0,0,0,1,0,0
"206",14.82,0,1,0,0,0,1,1,0,0
"207",21.61,1,0,1,0,0,1,1,0,0
"208",21.13,1,0,1,0,1,1,1,1,0
"209",22.78,1,0,0,0,0,0,1,0,0
"210",17.32,1,0,0,0,0,0,1,0,0
"211",29.33,1,0,0,0,0,1,1,0,0
"212",21.14,1,0,0,0,0,1,1,0,0
"213",23.85,1,0,0,0,0,1,1,0,0
"214",23.59,1,0,1,0,0,0,1,0,0
"215",27.58,1,0,1,0,0,0,1,0,0
"216",22.81,1,0,1,0,0,1,1,0,0
"217",21.33,0,0,0,0,0,1,1,0,0
"218",25.29,0,0,0,0,0,1,1,0,0
"219",17.73,0,0,0,0,0,1,1,0,0
"220",21.88,1,0,1,0,0,0,1,0,0
"221",24.91,1,0,0,0,0,1,1,0,0
"222",27.27,1,0,0,0,0,1,1,0,0
"223",23.17,0,0,1,0,0,0,1,0,0
"224",33.86,0,0,1,0,0,0,1,0,0
"225",24.13,1,0,1,0,0,0,1,0,0
"226",20.8,1,0,1,0,0,0,1,0,0
"227",18.33,1,0,0,0,0,0,1,0,0
"228",24.81,1,0,0,0,0,0,1,0,0
"229",21.76,1,0,1,0,0,0,1,0,0
"230",21.66,0,0,0,0,0,0,1,0,0
"231",21.14,1,0,1,0,0,0,1,0,0
"232",28.25,1,0,1,0,0,0,1,0,0
"233",25.38,1,0,1,1,0,0,1,0,0
"234",24.85,1,0,0,0,0,0,1,0,0
"235",22.27,1,0,0,0,0,0,1,0,0
"236",19.38,0,1,0,0,0,1,1,0,0
"237",19.91,0,1,0,0,0,0,1,0,0
"238",25.83,1,0,0,0,0,0,1,0,0
"239",16.84,1,0,1,0,0,0,1,0,0
"240",26.5,1,0,0,0,0,1,1,1,0
"241",21.81,1,0,1,0,0,1,1,1,0
"242",18.25,1,0,1,0,0,0,1,0,0
"243",20.56,1,0,1,0,0,0,1,0,0
"244",21.31,1,0,1,0,0,0,1,0,0
"245",22.52,1,0,0,0,0,0,1,0,0
"246",24.14,1,0,0,0,0,0,1,0,0
"247",31.56,1,0,1,0,0,0,1,0,0
"248",21.36,1,0,0,0,0,0,1,0,0
"249",21.47,1,0,0,0,0,0,1,0,0
"250",27.94,1,0,1,0,0,0,1,0,0
"251",31.73,1,0,1,0,0,1,1,0,0
"252",30.21,1,0,1,0,0,0,1,0,0
"253",23.03,1,0,1,0,0,0,1,0,0
"254",26.9,1,0,1,0,0,0,1,0,0
"255",23.38,1,0,1,0,0,1,1,0,0
"256",21.3,1,0,1,0,0,0,1,0,0
"257",24.8,1,0,0,0,0,0,1,0,0
